Gene_Name	Normal_Score	Disease_Score	Association_Score	Association_Score_Scaled	Transcribed in normal/Disease
ZNF19	8	160	168	43.95	Disease
CCDC121	14	154	168	43.95	Disease
RABL5	34	134	168	43.95	Disease
MAGIX	14	154	168	43.95	Disease
LOC284033	4	164	168	43.95	Normal
GMEB1	10	158	168	43.95	Disease
SLC34A3	8	160	168	43.95	Normal
IGSF8	10	158	168	43.95	Disease
PTPN21	6	162	168	43.95	Disease
NR2F1	2	166	168	43.95	Disease
CDCA5	14	152	166	43.43	Disease
GBA2	6	160	166	43.43	Disease
RASSF1	8	158	166	43.43	Disease
NID1	6	160	166	43.43	Disease
ALKBH4	22	144	166	43.43	Disease
MMAB	8	158	166	43.43	Disease
C7orf40	8	158	166	43.43	Disease
SAMD4B	10	156	166	43.43	Disease
WDR19	12	154	166	43.43	Disease
PCTP	26	140	166	43.43	Disease
C2orf72	16	150	166	43.43	Disease
LOC100132884	10	156	166	43.43	Disease
ZNF581	16	150	166	43.43	Disease
PDK1	12	154	166	43.43	Disease
CLCA4	42	124	166	43.43	Normal
FBXO44	10	156	166	43.43	Disease
METTL12	16	150	166	43.43	Disease
MGAT4A	2	164	166	43.43	Disease
HEPH	24	142	166	43.43	Normal
HEXIM2	8	158	166	43.43	Disease
PWP2	32	134	166	43.43	Disease
TNKS1BP1	10	154	164	42.9	Disease
ADARB1	24	140	164	42.9	Disease
CD3D	12	152	164	42.9	Normal
SLC27A6	8	156	164	42.9	Normal
SPRR2B	40	124	164	42.9	Normal
MMRN1	2	162	164	42.9	Normal
ETS1	12	152	164	42.9	Disease
EPB41L4A	10	154	164	42.9	Disease
SGEF	4	160	164	42.9	Disease
XAB2	40	124	164	42.9	Disease
ZNF789	2	162	164	42.9	Disease
ZNF598	10	154	164	42.9	Disease
KIAA1984	6	158	164	42.9	Disease
TRIM68	14	150	164	42.9	Disease
PRKAA2	32	132	164	42.9	Disease
LHX2	42	122	164	42.9	Disease
EYA3	12	152	164	42.9	Disease
PMS2L5	16	148	164	42.9	Disease
NOC4L	42	122	164	42.9	Disease
CD97	36	128	164	42.9	Disease
YDD19	8	156	164	42.9	Disease
ZBED3	12	152	164	42.9	Disease
WDR51A	12	152	164	42.9	Disease
CBL	14	148	162	42.38	Disease
DPT	10	152	162	42.38	Normal
LRWD1	8	154	162	42.38	Disease
AIFM2	8	154	162	42.38	Disease
C3orf19	10	152	162	42.38	Disease
PRAF2	22	140	162	42.38	Disease
PGBD1	12	150	162	42.38	Disease
MTHFR	12	150	162	42.38	Disease
PCYOX1L	16	146	162	42.38	Disease
TBC1D8B	28	134	162	42.38	Disease
XDH	8	154	162	42.38	Disease
HYLS1	16	146	162	42.38	Disease
TTC1	12	150	162	42.38	Disease
TIGD5	16	146	162	42.38	Disease
ACVR2B	28	134	162	42.38	Disease
CYTSA	8	154	162	42.38	Disease
THNSL1	12	150	162	42.38	Disease
GTF2H2	16	146	162	42.38	Disease
MON1B	36	126	162	42.38	Disease
ABHD15	12	150	162	42.38	Disease
CD34	12	148	160	41.86	Normal
DUS3L	14	146	160	41.86	Disease
TMPRSS11D	40	120	160	41.86	Normal
NXPH4	40	120	160	41.86	Disease
LOC729570	8	152	160	41.86	Disease
FHOD1	40	120	160	41.86	Disease
ZBTB33	6	154	160	41.86	Disease
PPP1R12B	14	146	160	41.86	Disease
OCA2	2	158	160	41.86	Normal
LOC100130987	16	144	160	41.86	Disease
ERICH1	12	148	160	41.86	Disease
CKAP2L	16	144	160	41.86	Disease
RNF24	24	136	160	41.86	Disease
FBN2	22	138	160	41.86	Disease
ZNF639	10	150	160	41.86	Disease
DHX35	34	126	160	41.86	Disease
LOC150759	12	148	160	41.86	Disease
ARMC9	34	126	160	41.86	Disease
PRSS16	34	126	160	41.86	Disease
SFRS16	28	132	160	41.86	Disease
TAF4B	8	152	160	41.86	Disease
CASC5	10	150	160	41.86	Disease
SMYD3	26	134	160	41.86	Disease
KLK6	4	154	158	41.33	Normal
FAM100B	2	156	158	41.33	Disease
DUOX2	20	138	158	41.33	Normal
CCL2	6	152	158	41.33	Normal
WDR35	12	146	158	41.33	Disease
TJP3	30	128	158	41.33	Disease
CWF19L1	42	116	158	41.33	Disease
COL8A2	10	148	158	41.33	Disease
FSTL3	4	154	158	41.33	Disease
PCBP4	24	134	158	41.33	Disease
WDR62	30	128	158	41.33	Disease
PPM1K	8	150	158	41.33	Disease
FAM105A	4	154	158	41.33	Disease
ENO2	36	122	158	41.33	Disease
EXOSC1	34	124	158	41.33	Disease
C17orf86	24	134	158	41.33	Disease
UGT8	32	126	158	41.33	Disease
DHX57	44	114	158	41.33	Disease
GJC1	40	118	158	41.33	Disease
ZNF282	34	124	158	41.33	Disease
RBM11	6	152	158	41.33	Disease
SLC18A2	4	152	156	40.81	Normal
BCHE	26	130	156	40.81	Normal
SRMS	2	154	156	40.81	Normal
MADCAM1	12	144	156	40.81	Normal
TMEM201	16	140	156	40.81	Disease
C2orf7	14	142	156	40.81	Disease
HMBOX1	34	122	156	40.81	Disease
C12orf45	8	148	156	40.81	Disease
DUSP23	8	148	156	40.81	Disease
FBXO4	28	128	156	40.81	Disease
COPS7B	30	126	156	40.81	Disease
GALNTL4	12	144	156	40.81	Disease
ZFP1	12	144	156	40.81	Disease
MANBA	24	132	156	40.81	Disease
IFIT1	28	128	156	40.81	Disease
C7orf29	6	148	154	40.29	Disease
LOC100129895	4	150	154	40.29	Disease
PNLIPRP3	4	150	154	40.29	Normal
ZNF280A	36	118	154	40.29	Normal
RHCG	42	112	154	40.29	Normal
LOC100128974	4	150	154	40.29	Normal
SOSTDC1	16	138	154	40.29	Normal
MGC13005	2	152	154	40.29	Normal
HS3ST6	4	150	154	40.29	Normal
ZNF230	14	140	154	40.29	Disease
CA5BP	22	132	154	40.29	Disease
UBL4A	30	124	154	40.29	Disease
DNAJC22	10	144	154	40.29	Disease
FAM20C	8	146	154	40.29	Disease
TLE2	6	148	154	40.29	Disease
LOC92249	30	124	154	40.29	Disease
STARD10	4	150	154	40.29	Disease
C11orf68	6	148	154	40.29	Disease
COQ6	32	122	154	40.29	Disease
TRMT1	26	128	154	40.29	Disease
FHAD1	2	152	154	40.29	Disease
CDH26	6	148	154	40.29	Disease
FAM122A	14	140	154	40.29	Disease
C17orf65	12	142	154	40.29	Disease
ZSCAN2	10	144	154	40.29	Disease
FJX1	18	136	154	40.29	Disease
PKN1	40	114	154	40.29	Disease
PPP1R12C	12	140	152	39.76	Disease
NRP2	12	140	152	39.76	Disease
PKN3	16	136	152	39.76	Disease
MDK	18	134	152	39.76	Disease
AP4E1	18	134	152	39.76	Disease
KIAA1688	16	136	152	39.76	Disease
DNAJC18	12	140	152	39.76	Disease
C3orf33	10	142	152	39.76	Disease
SLC6A6	10	142	152	39.76	Disease
KCNC4	28	124	152	39.76	Disease
SLC36A1	24	128	152	39.76	Disease
ZNF747	24	128	152	39.76	Disease
CNPY4	16	136	152	39.76	Disease
GALM	4	148	152	39.76	Disease
ZNF3	28	124	152	39.76	Disease
CCNO	42	110	152	39.76	Disease
ECE2	20	132	152	39.76	Disease
MED25	12	140	152	39.76	Disease
	2	150	152	39.76	Disease
ZNF41	38	114	152	39.76	Disease
MPDU1	40	112	152	39.76	Disease
ZNF853	12	140	152	39.76	Disease
HESRG	6	146	152	39.76	Normal
ADRBK2	30	120	150	39.24	Disease
DGKZ	20	130	150	39.24	Disease
ARSD	10	140	150	39.24	Disease
SLC29A2	40	110	150	39.24	Disease
TMEM2	22	128	150	39.24	Disease
CUL9	22	128	150	39.24	Disease
CCDC94	10	140	150	39.24	Disease
C1orf97	12	138	150	39.24	Disease
NR2C2AP	8	142	150	39.24	Disease
CDKN2B	8	142	150	39.24	Disease
XYLT2	36	114	150	39.24	Disease
REPS2	18	132	150	39.24	Disease
SEPX1	26	124	150	39.24	Disease
	14	136	150	39.24	Disease
ATF7	24	126	150	39.24	Disease
DMBT1	6	144	150	39.24	Disease
UBL7	16	134	150	39.24	Disease
ANTXR2	12	138	150	39.24	Disease
GLTSCR1	20	130	150	39.24	Disease
QSOX2	8	142	150	39.24	Disease
DHX34	14	136	150	39.24	Disease
ATP10B	22	128	150	39.24	Normal
RP11-167P23.2	6	144	150	39.24	Normal
TMEM100	2	148	150	39.24	Normal
LRP5	38	110	148	38.71	Disease
C4orf18	2	146	148	38.71	Disease
SLC22A3	2	146	148	38.71	Disease
C8orf55	34	114	148	38.71	Disease
SLC2A8	16	132	148	38.71	Disease
FLJ35934	6	142	148	38.71	Disease
PEG10	30	118	148	38.71	Disease
TCTN1	30	118	148	38.71	Disease
C16orf75	8	140	148	38.71	Disease
RANBP3	12	136	148	38.71	Disease
HDHD3	12	136	148	38.71	Disease
DACH1	30	118	148	38.71	Normal
FREQ	40	108	148	38.71	Disease
YIPF1	14	134	148	38.71	Disease
CENPV	10	138	148	38.71	Disease
BCAM	16	132	148	38.71	Disease
TPM3	12	136	148	38.71	Disease
ETV5	18	130	148	38.71	Disease
ATXN2L	40	108	148	38.71	Disease
RNF123	36	112	148	38.71	Disease
FLJ31958	8	140	148	38.71	Disease
LOC219731	4	144	148	38.71	Normal
ANKH	6	142	148	38.71	Disease
TRERF1	2	146	148	38.71	Disease
MLL2	12	136	148	38.71	Disease
SPON2	16	132	148	38.71	Normal
TAF3	8	140	148	38.71	Disease
NOS1AP	36	112	148	38.71	Disease
C4orf34	10	138	148	38.71	Disease
DOCK11	8	140	148	38.71	Disease
PRSS1	32	116	148	38.71	Normal
ADH7	10	138	148	38.71	Normal
CHM	12	136	148	38.71	Disease
SSBP4	16	130	146	38.19	Disease
CENPH	16	130	146	38.19	Disease
KLHDC8B	8	138	146	38.19	Disease
GOLGA2L1	16	130	146	38.19	Disease
ZXDB	20	126	146	38.19	Disease
CCDC150	2	144	146	38.19	Disease
TP73	10	136	146	38.19	Disease
CAMK2N2	14	132	146	38.19	Disease
FAM189B	24	122	146	38.19	Disease
MCTP1	20	126	146	38.19	Disease
SIM2	40	106	146	38.19	Disease
SYCP2	16	130	146	38.19	Disease
VASH2	10	136	146	38.19	Disease
IMPDH1	26	120	146	38.19	Disease
C15orf42	12	134	146	38.19	Disease
THBS2	40	106	146	38.19	Normal
FER1L5	10	136	146	38.19	Normal
LOC390998	8	138	146	38.19	Normal
GATA6	40	104	144	37.67	Disease
ARSB	32	112	144	37.67	Disease
C1orf115	12	132	144	37.67	Disease
AGFG2	24	120	144	37.67	Disease
	4	140	144	37.67	Disease
INO80D	10	134	144	37.67	Disease
SLC23A3	10	134	144	37.67	Disease
FAM174B	22	122	144	37.67	Disease
FCHSD2	30	114	144	37.67	Disease
RECQL5	8	136	144	37.67	Disease
AKT2	26	118	144	37.67	Disease
ICAM1	26	118	144	37.67	Disease
ABCA11P	6	138	144	37.67	Disease
METTL10	10	134	144	37.67	Disease
MCOLN3	20	124	144	37.67	Disease
LOC100133612	8	136	144	37.67	Disease
IFIT5	14	130	144	37.67	Disease
KLHL36	36	108	144	37.67	Disease
FAM111B	8	136	144	37.67	Disease
SCAI	16	128	144	37.67	Disease
DIAPH3	8	136	144	37.67	Disease
HLA-DQB2	42	102	144	37.67	Normal
CALML5	30	114	144	37.67	Normal
	4	140	144	37.67	Normal
OR2C1	32	112	144	37.67	Normal
CYTH3	22	120	142	37.14	Disease
SCAMP4	32	110	142	37.14	Disease
IFIT2	40	102	142	37.14	Disease
LIN7B	2	140	142	37.14	Disease
METRN	38	104	142	37.14	Disease
TCEAL3	2	140	142	37.14	Disease
SP4	8	134	142	37.14	Disease
ULK1	20	122	142	37.14	Disease
HOXB3	12	130	142	37.14	Disease
VGLL3	2	140	142	37.14	Disease
PARD6B	16	126	142	37.14	Disease
N6AMT1	30	112	142	37.14	Disease
H6PD	10	132	142	37.14	Disease
ADSSL1	14	128	142	37.14	Disease
HEG1	10	132	142	37.14	Disease
ADAMTS10	12	130	142	37.14	Normal
KRT4	40	102	142	37.14	Normal
LETM2	4	136	140	36.62	Disease
KIAA1522	8	132	140	36.62	Disease
MFAP3L	24	116	140	36.62	Disease
GDF15	36	104	140	36.62	Disease
ZNF134	22	118	140	36.62	Disease
C9orf45	30	110	140	36.62	Disease
WDR18	36	104	140	36.62	Disease
DYRK3	36	104	140	36.62	Disease
C4orf52	16	124	140	36.62	Disease
RNF41	40	100	140	36.62	Disease
HDAC7	16	124	140	36.62	Disease
ST3GAL5	14	126	140	36.62	Disease
AFAP1L1	16	124	140	36.62	Disease
HAMP	2	138	140	36.62	Disease
DNLZ	10	130	140	36.62	Disease
LOC401022	14	126	140	36.62	Disease
HOXA3	14	126	140	36.62	Disease
GEMIN7	42	98	140	36.62	Disease
DSPP	8	132	140	36.62	Disease
SULT1E1	16	124	140	36.62	Normal
LOC643008	8	132	140	36.62	Normal
ELTD1	8	132	140	36.62	Normal
RAPGEFL1	10	130	140	36.62	Normal
GSDMD	24	116	140	36.62	Disease
RP3-398D13.1	6	134	140	36.62	Normal
ELF5	8	132	140	36.62	Normal
TNNT1	42	98	140	36.62	Disease
MAP7D3	34	106	140	36.62	Disease
CPNE8	8	130	138	36.1	Disease
PTPRB	2	136	138	36.1	Disease
BTBD2	36	102	138	36.1	Disease
IMMP2L	12	126	138	36.1	Disease
HS6ST1	12	126	138	36.1	Disease
PIM2	24	114	138	36.1	Disease
CACNA1A	4	134	138	36.1	Disease
SLC7A6OS	8	130	138	36.1	Disease
C3orf59	6	132	138	36.1	Disease
GFPT2	2	136	138	36.1	Disease
PPP5C	40	98	138	36.1	Disease
ADCK1	2	136	138	36.1	Disease
ANKS6	4	134	138	36.1	Disease
TET1	4	134	138	36.1	Disease
GRTP1	16	122	138	36.1	Disease
IFI35	16	122	138	36.1	Disease
SLC25A15	42	96	138	36.1	Disease
DHRS7B	22	116	138	36.1	Disease
C16orf48	10	128	138	36.1	Disease
C3	24	114	138	36.1	Disease
LOC100134361	6	132	138	36.1	Normal
SEMA5A	34	104	138	36.1	Normal
FAM3B	16	122	138	36.1	Normal
SPINK7	16	122	138	36.1	Normal
KIFC1	42	96	138	36.1	Disease
CACNA1D	2	136	138	36.1	Disease
ZNF850P	10	128	138	36.1	Disease
C4orf19	10	128	138	36.1	Disease
SYTL2	14	124	138	36.1	Disease
ZNF300	8	128	136	35.57	Disease
BRIP1	40	96	136	35.57	Disease
DALRD3	32	104	136	35.57	Disease
GPT2	16	120	136	35.57	Disease
LOC647946	8	128	136	35.57	Disease
SYNC	4	132	136	35.57	Disease
LOC440957	10	126	136	35.57	Disease
NUDT16L1	8	128	136	35.57	Disease
C20orf112	4	132	136	35.57	Disease
RFX1	12	124	136	35.57	Disease
PGS1	14	122	136	35.57	Disease
C9orf116	24	112	136	35.57	Disease
FITM2	16	120	136	35.57	Disease
SCARA3	18	118	136	35.57	Disease
FLJ45513	8	128	136	35.57	Normal
FLJ32955	4	132	136	35.57	Normal
BBOX1	36	100	136	35.57	Normal
SEPN1	12	124	136	35.57	Disease
RFXAP	12	122	134	35.05	Disease
CABC1	24	110	134	35.05	Disease
DTX3	30	104	134	35.05	Disease
UNQ565	6	128	134	35.05	Disease
TTC5	14	120	134	35.05	Disease
TMEM110	20	114	134	35.05	Disease
CDYL2	4	130	134	35.05	Disease
PARD6A	4	130	134	35.05	Disease
PIGZ	36	98	134	35.05	Disease
RRP1	16	118	134	35.05	Disease
KIAA1549	14	120	134	35.05	Disease
ZNF174	6	128	134	35.05	Disease
SLC9A1	38	96	134	35.05	Disease
GALNT12	2	132	134	35.05	Disease
TCEA2	32	102	134	35.05	Disease
ARRB1	10	124	134	35.05	Disease
HOMEZ	2	132	134	35.05	Disease
MAP3K14	12	122	134	35.05	Disease
PRKAR2B	10	124	134	35.05	Disease
LMLN	12	122	134	35.05	Disease
ESYT3	8	126	134	35.05	Normal
LOC360030	12	122	134	35.05	Normal
PDGFRA	20	114	134	35.05	Normal
LOC400238	4	130	134	35.05	Normal
CYP3A5	40	94	134	35.05	Normal
NOD2	38	96	134	35.05	Normal
SLC25A30	30	102	132	34.52	Disease
SELM	2	130	132	34.52	Disease
POLR1A	8	124	132	34.52	Disease
NOL6	22	110	132	34.52	Disease
ZKSCAN4	14	118	132	34.52	Disease
KIAA1211	16	116	132	34.52	Disease
EIF3C	6	126	132	34.52	Disease
HS3ST3B1	16	116	132	34.52	Disease
RHOBTB1	14	118	132	34.52	Disease
STBD1	44	88	132	34.52	Disease
CMPK2	6	126	132	34.52	Disease
KIF6	6	126	132	34.52	Disease
ZNF642	14	118	132	34.52	Disease
TSGA14	30	102	132	34.52	Disease
PECR	10	122	132	34.52	Disease
PGPEP1	20	112	132	34.52	Disease
GPR176	44	88	132	34.52	Disease
MAP3K12	12	120	132	34.52	Disease
TTTY12	6	126	132	34.52	Normal
EVPL	22	110	132	34.52	Normal
COL6A3	36	96	132	34.52	Normal
CDH13	24	108	132	34.52	Normal
IGF1	28	104	132	34.52	Normal
S1PR1	6	126	132	34.52	Normal
FLJ38379	6	124	130	34.0	Normal
LEMD2	8	122	130	34.0	Disease
	12	118	130	34.0	Normal
LYZ	20	110	130	34.0	Normal
SERPINF1	30	100	130	34.0	Normal
C1QB	2	128	130	34.0	Normal
TFAP2E	4	126	130	34.0	Disease
MON1A	8	122	130	34.0	Disease
LOC646762	4	126	130	34.0	Disease
ZNF778	16	114	130	34.0	Disease
TTLL4	4	126	130	34.0	Disease
IQCH	22	108	130	34.0	Disease
RASSF8	20	110	130	34.0	Disease
PWWP2B	6	124	130	34.0	Disease
PUSL1	8	122	130	34.0	Disease
ZNF555	2	128	130	34.0	Disease
RPAP1	16	114	130	34.0	Disease
SMOC2	2	128	130	34.0	Disease
EXTL3	20	108	128	33.48	Disease
C19orf21	40	88	128	33.48	Disease
BCL9	22	106	128	33.48	Disease
CNTROB	2	126	128	33.48	Disease
KSR1	24	104	128	33.48	Disease
JOSD2	16	112	128	33.48	Disease
GINS4	38	90	128	33.48	Disease
RPLP2P1	16	112	128	33.48	Disease
C8orf60	16	112	128	33.48	Disease
CCDC88C	6	122	128	33.48	Disease
MAGOHB	38	90	128	33.48	Disease
AAAS	34	94	128	33.48	Disease
ZC3H3	14	114	128	33.48	Disease
SLC41A1	14	114	128	33.48	Disease
ENC1	22	106	128	33.48	Disease
PTPRJ	38	90	128	33.48	Disease
IFNAR2	10	118	128	33.48	Disease
NCRNA00115	36	92	128	33.48	Disease
C17orf57	6	122	128	33.48	Disease
SEPT13	10	118	128	33.48	Disease
C12orf34	8	120	128	33.48	Disease
FUT11	16	112	128	33.48	Disease
FLJ40330	26	102	128	33.48	Disease
GAS7	36	92	128	33.48	Normal
EPHX3	14	114	128	33.48	Normal
ALS2CR10	16	112	128	33.48	Normal
PIP5KL1	4	124	128	33.48	Normal
ZNF662	14	114	128	33.48	Normal
EPB41L3	40	88	128	33.48	Normal
KLK11	40	88	128	33.48	Normal
TMEM44	12	114	126	32.95	Disease
STARD3	28	98	126	32.95	Disease
INPP5B	14	112	126	32.95	Disease
ZNF643	38	88	126	32.95	Disease
MNAT1	42	84	126	32.95	Disease
ERBB4	12	114	126	32.95	Disease
LRFN1	2	124	126	32.95	Disease
C6orf225	12	114	126	32.95	Disease
ERN1	34	92	126	32.95	Disease
NUDT7	22	104	126	32.95	Disease
ZNF615	16	110	126	32.95	Disease
DEM1	26	100	126	32.95	Disease
C7orf41	2	124	126	32.95	Disease
GLDC	40	86	126	32.95	Disease
PPP1R9A	8	118	126	32.95	Disease
IQCG	24	102	126	32.95	Disease
ACTR3B	30	96	126	32.95	Disease
CXCL2	6	120	126	32.95	Disease
NAT14	16	110	126	32.95	Disease
FLYWCH2	16	110	126	32.95	Disease
GLT8D2	16	110	126	32.95	Disease
HLA-DQA1	36	90	126	32.95	Normal
ZNF415	26	100	126	32.95	Normal
HCK	20	106	126	32.95	Normal
COL14A1	28	98	126	32.95	Normal
PDZRN3	6	120	126	32.95	Normal
WDR46	18	106	124	32.43	Disease
NUDT6	20	104	124	32.43	Disease
ALDH1L2	14	110	124	32.43	Disease
C10orf75	10	114	124	32.43	Disease
TBC1D22B	34	90	124	32.43	Disease
ABCC3	28	96	124	32.43	Disease
PLK3	2	122	124	32.43	Normal
CYTIP	20	104	124	32.43	Normal
KLK8	24	100	124	32.43	Normal
CLDN23	12	112	124	32.43	Disease
OLFML1	26	98	124	32.43	Normal
AOC2	26	98	124	32.43	Disease
URG4	8	116	124	32.43	Disease
DYX1C1	12	112	124	32.43	Disease
KLHL29	10	114	124	32.43	Disease
ZNF783	2	122	124	32.43	Disease
TBC1D16	22	102	124	32.43	Disease
FGF2	32	92	124	32.43	Disease
ANK1	12	112	124	32.43	Disease
ZSCAN21	12	112	124	32.43	Disease
LOC286161	10	114	124	32.43	Disease
SHKBP1	16	108	124	32.43	Disease
TNRC6C	10	112	122	31.9	Disease
COMMD9	2	120	122	31.9	Disease
TMEM22	40	82	122	31.9	Disease
LOC401068	12	110	122	31.9	Disease
SRGAP2	28	94	122	31.9	Disease
SNTB1	12	110	122	31.9	Disease
PIGQ	30	92	122	31.9	Disease
BHLHB9	24	98	122	31.9	Disease
ZNF449	8	114	122	31.9	Disease
RTKN2	8	114	122	31.9	Disease
C2orf34	34	88	122	31.9	Disease
HTRA3	6	116	122	31.9	Disease
CBX2	28	94	122	31.9	Disease
SPATA7	26	96	122	31.9	Disease
LOC374443	16	106	122	31.9	Disease
FZD8	32	90	122	31.9	Disease
FAM83B	12	110	122	31.9	Disease
SPRYD3	10	112	122	31.9	Disease
TNFRSF18	2	120	122	31.9	Disease
F13A1	8	114	122	31.9	Normal
C1orf177	12	110	122	31.9	Normal
PDZRN4	2	120	122	31.9	Normal
OR51E1	6	116	122	31.9	Normal
SPACA4	4	118	122	31.9	Normal
KLF8	16	106	122	31.9	Normal
CD93	32	90	122	31.9	Normal
TEF	32	88	120	31.38	Disease
TP53AIP1	40	80	120	31.38	Normal
LOC100129932	6	114	120	31.38	Normal
CNFN	16	104	120	31.38	Normal
C1orf93	4	116	120	31.38	Disease
RICH2	10	110	120	31.38	Disease
MGC23270	8	112	120	31.38	Normal
SRGAP1	10	110	120	31.38	Disease
LOC153546	16	104	120	31.38	Disease
LIPG	30	90	120	31.38	Disease
TAF1C	28	92	120	31.38	Disease
PTPN4	22	98	120	31.38	Disease
NIPAL2	2	118	120	31.38	Disease
LOC729088	4	116	120	31.38	Disease
CCDC124	12	108	120	31.38	Disease
C9orf7	18	102	120	31.38	Disease
CEP110	24	96	120	31.38	Disease
PLA2G4D	6	114	120	31.38	Normal
TYROBP	20	100	120	31.38	Normal
LOC100129387	12	108	120	31.38	Disease
KIAA0114	12	108	120	31.38	Disease
ZNF550	34	86	120	31.38	Disease
SPRR3	42	76	118	30.86	Normal
GABRG1	4	114	118	30.86	Normal
RGS3	26	92	118	30.86	Disease
CASKIN2	40	78	118	30.86	Disease
MARVELD3	6	112	118	30.86	Disease
TRIM65	8	110	118	30.86	Disease
TMEM55A	6	112	118	30.86	Disease
EHD3	10	108	118	30.86	Disease
BLOC1S3	16	102	118	30.86	Disease
MDM2	30	88	118	30.86	Disease
ACOT4	12	106	118	30.86	Disease
CEACAM4	2	116	118	30.86	Disease
CD2	28	90	118	30.86	Normal
PABPC1L	8	110	118	30.86	Disease
SURF2	42	76	118	30.86	Disease
MGP	10	108	118	30.86	Normal
VSIG10L	8	110	118	30.86	Normal
COL17A1	6	112	118	30.86	Normal
CD36	22	96	118	30.86	Normal
CD84	6	112	118	30.86	Normal
FAM55C	8	110	118	30.86	Disease
NAB2	16	100	116	30.33	Disease
FOXL2	26	90	116	30.33	Disease
FKSG73	6	110	116	30.33	Disease
SLC44A3	8	108	116	30.33	Disease
ALDH5A1	6	110	116	30.33	Disease
LOC494150	2	114	116	30.33	Disease
RAB36	2	114	116	30.33	Disease
FAM176B	30	86	116	30.33	Disease
FAM86C	42	74	116	30.33	Disease
SLC22A15	8	108	116	30.33	Disease
HEYL	14	102	116	30.33	Disease
FAM50B	26	90	116	30.33	Disease
CCDC97	12	104	116	30.33	Disease
ZNF541	10	106	116	30.33	Disease
TP53I13	16	100	116	30.33	Disease
C6orf129	16	100	116	30.33	Disease
DOT1L	12	104	116	30.33	Disease
ME3	10	106	116	30.33	Disease
MEF2D	6	110	116	30.33	Disease
PDE5A	12	104	116	30.33	Disease
IL8	2	114	116	30.33	Disease
FLJ45482	16	100	116	30.33	Disease
LOC100130872	8	108	116	30.33	Normal
APOD	36	80	116	30.33	Normal
LOC100132077	4	112	116	30.33	Normal
CHRNE	2	114	116	30.33	Normal
CLEC4M	6	110	116	30.33	Normal
CARD18	6	110	116	30.33	Normal
MFSD3	16	100	116	30.33	Disease
ARHGEF9	24	90	114	29.81	Disease
XRCC3	44	70	114	29.81	Disease
DDX51	28	86	114	29.81	Disease
C1orf69	24	90	114	29.81	Disease
CDH3	6	108	114	29.81	Disease
KCTD11	4	110	114	29.81	Disease
ATP6V1E2	12	102	114	29.81	Disease
ENTPD6	30	84	114	29.81	Disease
USP18	38	76	114	29.81	Disease
DNAH12	10	104	114	29.81	Disease
CMTM8	16	98	114	29.81	Disease
ZP4	16	98	114	29.81	Disease
MYL9	24	90	114	29.81	Disease
NHEDC2	12	102	114	29.81	Disease
BOK	14	100	114	29.81	Disease
TINAGL1	42	72	114	29.81	Disease
	6	108	114	29.81	Normal
COX7B2	2	112	114	29.81	Normal
CHADL	6	108	114	29.81	Normal
MAOB	2	112	114	29.81	Normal
LQK1	16	96	112	29.29	Disease
RAB20	34	78	112	29.29	Disease
LAT2	26	86	112	29.29	Normal
IRF8	20	92	112	29.29	Normal
LOC284632	2	110	112	29.29	Normal
SBSN	16	96	112	29.29	Normal
LOC285835	4	108	112	29.29	Disease
EDN1	8	104	112	29.29	Disease
ZNF485	12	100	112	29.29	Disease
FIGN	8	104	112	29.29	Disease
KCNRG	16	96	112	29.29	Disease
LOC441383	16	96	112	29.29	Disease
CLPB	42	70	112	29.29	Disease
CRTC1	14	98	112	29.29	Disease
ABCD1	44	68	112	29.29	Disease
DHRSX	16	96	112	29.29	Disease
ASRGL1	38	74	112	29.29	Disease
AGAP4	4	108	112	29.29	Disease
NAPB	8	104	112	29.29	Disease
KIAA0040	4	108	112	29.29	Disease
TSPYL2	2	110	112	29.29	Disease
CXCL9	10	100	110	28.76	Normal
PLA2G4F	16	94	110	28.76	Normal
CEACAM7	30	80	110	28.76	Normal
LOC93444	4	106	110	28.76	Disease
	24	86	110	28.76	Normal
MAST4	28	82	110	28.76	Normal
CA4	24	86	110	28.76	Normal
NAP1L2	12	98	110	28.76	Normal
C20orf54	6	104	110	28.76	Disease
ENO3	34	76	110	28.76	Disease
SCARF1	14	96	110	28.76	Disease
C5orf39	12	98	110	28.76	Disease
LOC729680	16	94	110	28.76	Disease
TNFRSF11B	22	88	110	28.76	Disease
CAMK2B	18	92	110	28.76	Disease
MAPK8IP3	30	80	110	28.76	Disease
LRSAM1	10	100	110	28.76	Disease
HLA-DPB1	36	74	110	28.76	Normal
LOC284513	16	94	110	28.76	Disease
ATP8B2	18	92	110	28.76	Disease
RHPN1	16	94	110	28.76	Disease
LOC153684	6	104	110	28.76	Disease
KIAA1618	4	106	110	28.76	Disease
C3orf31	6	104	110	28.76	Disease
LSM11	14	96	110	28.76	Disease
HDAC9	22	88	110	28.76	Disease
SGK269	32	78	110	28.76	Disease
LOC286434	20	90	110	28.76	Disease
TSPAN1	36	74	110	28.76	Disease
ZNF20	20	90	110	28.76	Disease
E2F2	36	74	110	28.76	Disease
TRIM9	16	94	110	28.76	Disease
C10orf35	12	98	110	28.76	Disease
SERPINA1	10	100	110	28.76	Disease
SLITRK4	4	104	108	28.24	Normal
HMCN1	16	92	108	28.24	Normal
ACP5	20	88	108	28.24	Normal
TGM1	28	80	108	28.24	Normal
